X,Y,OBJECTID,name_e,nom_f,url_e,url_f,site_num_site,min_scale_echelle,max_scale_echelle,PreserveGlobal
-115.534143388609,51.1898089940198,1259835,Tunnel Mountain Trailer Court,,,,219,2000,,
-115.534251720442,51.1899212824826,1259836,Tunnel Mountain Trailer Court,,,,220,2000,,
-115.533718216949,51.1900549365931,1259837,Tunnel Mountain Trailer Court,,,,222,2000,,
-115.533291166159,51.1900032580764,1259838,Tunnel Mountain Trailer Court,,,,223,2000,,
-115.533288339164,51.19014025207,1259839,Tunnel Mountain Trailer Court,,,,224,2000,,
-115.532733372669,51.190134989055,1259840,Tunnel Mountain Trailer Court,,,,227,2000,,
-115.532835826167,51.1902415801967,1259841,Tunnel Mountain Trailer Court,,,,228,2000,,
-115.532367367443,51.1902004649986,1259842,Tunnel Mountain Trailer Court,,,,229,2000,,
-115.53242538237,51.1903177080207,1259843,Tunnel Mountain Trailer Court,,,,230,2000,,
-115.532153382552,51.1902606906497,1259844,Tunnel Mountain Trailer Court,,,,231,2000,,
-115.532184774334,51.1903830171503,1259845,Tunnel Mountain Trailer Court,,,,232,2000,,
-115.531760179368,51.1903534111015,1259846,Tunnel Mountain Trailer Court,,,,233,2000,,
-115.531824344025,51.190461466609,1259847,Tunnel Mountain Trailer Court,,,,234,2000,,
-115.531173192422,51.1904920897726,1259848,Tunnel Mountain Trailer Court,,,,235,2000,,
-115.531214336572,51.1905850489888,1259849,Tunnel Mountain Trailer Court,,,,236,2000,,
-115.530589877977,51.190612405573,1259850,Tunnel Mountain Trailer Court,,,,241,2000,,
-115.530621052147,51.1907312139482,1259851,Tunnel Mountain Trailer Court,,,,242,2000,,
-115.530052798258,51.1908661114228,1259852,Tunnel Mountain Trailer Court,,,,244,2000,,
-115.529583040091,51.1908636410613,1259853,Tunnel Mountain Trailer Court,,,,245,2000,,
-115.529563810426,51.1909819401168,1259854,Tunnel Mountain Trailer Court,,,,246,2000,,
-115.529160098905,51.1909269425584,1259855,Tunnel Mountain Trailer Court,,,,247,2000,,
-115.529217756955,51.1910551428799,1259856,Tunnel Mountain Trailer Court,,,,248,2000,,
-115.528804529118,51.191040476017,1259857,Tunnel Mountain Trailer Court,,,,249,2000,,
-115.528845259725,51.1911462946729,1259858,Tunnel Mountain Trailer Court,,,,250,2000,,
-115.532534746387,51.1904926321793,1259859,Tunnel Mountain Trailer Court,,,,329,2000,,
-115.53262535197,51.1905972544691,1259860,Tunnel Mountain Trailer Court,,,,330,2000,,
-115.532250728703,51.1905279485279,1259861,Tunnel Mountain Trailer Court,,,,331,2000,,
-115.532308044607,51.1906672283757,1259862,Tunnel Mountain Trailer Court,,,,332,2000,,
-115.531889345626,51.1906322363867,1259863,Tunnel Mountain Trailer Court,,,,333,2000,,
-115.531936118401,51.1907345309467,1259864,Tunnel Mountain Trailer Court,,,,334,2000,,
-115.531296337015,51.1907800630474,1259865,Tunnel Mountain Trailer Court,,,,335,2000,,
-115.531331628847,51.190874892907,1259866,Tunnel Mountain Trailer Court,,,,336,2000,,
-115.530725474243,51.1908710033232,1259867,Tunnel Mountain Trailer Court,,,,341,2000,,
-115.530765328,51.1910045222477,1259868,Tunnel Mountain Trailer Court,,,,342,2000,,
-115.53011837339,51.1910166218299,1259869,Tunnel Mountain Trailer Court,,,,343,2000,,
-115.53022344555,51.1911215509001,1259870,Tunnel Mountain Trailer Court,,,,344,2000,,
-115.52962023554,51.1911489226427,1259871,Tunnel Mountain Trailer Court,,,,345,2000,,
-115.529661144284,51.1912492003306,1259872,Tunnel Mountain Trailer Court,,,,346,2000,,
-115.529300089733,51.1912188927154,1259873,Tunnel Mountain Trailer Court,,,,347,2000,,
-115.529324069158,51.1912967881201,1259874,Tunnel Mountain Trailer Court,,,,348,2000,,
-115.528957582514,51.1912901143428,1259875,Tunnel Mountain Trailer Court,,,,349,2000,,
-115.528989497308,51.1913958212603,1259876,Tunnel Mountain Trailer Court,,,,350,2000,,
-115.53922391559,51.1889635864467,1259877,Tunnel Mountain Trailer Court,,,,301,2000,,
-115.539280898984,51.1891139432227,1259878,Tunnel Mountain Trailer Court,,,,302,2000,,
-115.538317473449,51.1891795032112,1259879,Tunnel Mountain Trailer Court,,,,303,2000,,
