X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-72.6557384257129,46.3979097436888,104736,Vestiges of the lower forge,Vestiges de la forge basse,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6547538404425,46.3973996769985,104737,Fontaine du diable,Fontaine du diable,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-72.6589467053972,46.3962384026798,104738,Bridge Vieilles forges du Saint-Maurice,Pont Vieilles forges du Saint-Maurice,,,,,,,,,,Bridge//Pont
-72.6586203630144,46.3962465959447,104739,Bridge Vieilles forges du Saint-Maurice,Pont Vieilles forges du Saint-Maurice,,,,,,,,,,Bridge//Pont
-72.6586672436582,46.3973498108488,104740,Bridge Vieilles forges du Saint-Maurice,Pont Vieilles forges du Saint-Maurice,,,,,,,,,,Bridge//Pont
-72.6577274850419,46.3976877361204,104741,Bridge Vieilles forges du Saint-Maurice,Pont Vieilles forges du Saint-Maurice,,,,,,,,,,Bridge//Pont
-72.6552214428842,46.3978161991918,104742,Bridge Vieilles forges du Saint-Maurice,Pont Vieilles forges du Saint-Maurice,,,,,,,,,,Bridge//Pont
-73.278501244242,45.4483662914926,104743,Cemetery Fort Chambly,Cimetière Fort Chambly,,,,,,,,,,Cemetery//Cimetière
-73.2768932000306,45.4494906067645,104744,Fort Chambly,Fort Chambly,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-73.2750217640981,45.449164153551,104745,Picnic Site Fort Chambly,Place de pique-nique Fort Chambly,,,,,,,,,,Picnic Site//Place de pique-nique
-73.278267486536,45.4481810147366,104746,Bridge Fort Chambly,Pont Fort Chambly,,,,,,,,,,Bridge//Pont
-73.268062772168,45.1209103311945,104747,Fort Lennox,Fort Lennox,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-73.2685084504932,45.1213473588884,104748,Barrack Fort Lennox,Caserne Fort Lennox,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-73.2680141930854,45.1219878639335,104749,Powder Fort Lennox,Poudrière Fort Lennox,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-73.2676332249671,45.1214926677229,104750,Officers's Quarters Fort Lennox,Logis des officiers Fort Lennox,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
-73.2672336391234,45.1212415629975,104751,Guard House Fort Lennox,Corps de garde Fort Lennox,,,,,,,,,,Historic Point of Interest//Leiu d'intérêt historique
